entry_time,direction,pnl,classification,candidate_entry_time,candidate_direction,candidate_pnl,source_exit_time,candidate_exit_time,source_entry_price,candidate_entry_price,source_exit_price,candidate_exit_price,source_exit_reason,candidate_exit_reason,entry_bar_delta,note
2021-12-02T03:15:00,short,479.5,near_match_entry_shift,2021-12-02T03:00:00,short,534.5,2021-12-02T11:00:00,2021-12-02T11:00:00,16216.0,16243.5,15976.25,15976.25,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2021-12-18T01:15:00,long,-302.0,near_match_entry_shift,2021-12-18T01:00:00,long,-163.5,2021-12-18T01:45:00,2021-12-18T02:00:00,15950.5,15897.25,15799.5,15815.5,long_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2022-01-14T05:15:00,short,111.0,no_near_match,,,,2022-01-14T13:30:00,,15557.5,,15502.0,,short_exit_opposite_10,,,no_same_side_trade_within_5_bars
2022-02-09T01:45:00,long,-107.5,near_match_price_diff,2022-02-09T01:15:00,long,-53.0,2022-02-09T04:30:00,2022-02-09T04:30:00,14691.75,14664.5,14638.0,14638.0,long_exit_opposite_10,opposite_10,-2,same_side_trade_within_5_bars_but_price_diff
2022-03-05T01:00:00,short,-238.5,near_match_price_diff,2022-03-05T00:15:00,short,-165.0,2022-03-05T03:15:00,2022-03-05T03:15:00,13781.75,13818.5,13901.0,13901.0,short_atr_stop,atr_stop,-3,same_side_trade_within_5_bars_but_price_diff
2022-04-02T02:15:00,short,-177.5,near_match_price_diff,2022-04-02T01:00:00,short,-113.0,2022-04-02T03:30:00,2022-04-02T03:30:00,14732.5,14764.75,14821.25,14821.25,short_exit_opposite_10,opposite_10,-5,same_side_trade_within_5_bars_but_price_diff
2022-04-19T23:15:00,long,107.0,near_match_entry_shift,2022-04-19T23:00:00,long,218.5,2022-04-20T03:15:00,2022-04-20T03:15:00,14070.25,14014.5,14123.75,14123.75,long_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-04-20T04:30:00,long,-302.0,near_match_entry_shift,2022-04-20T04:15:00,long,-280.0,2022-04-20T05:15:00,2022-04-20T05:15:00,14217.5,14206.5,14066.5,14066.5,long_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2022-04-22T01:00:00,short,524.0,near_match_entry_shift,2022-04-22T00:45:00,short,633.0,2022-04-22T13:30:00,2022-04-22T13:30:00,13965.25,14019.75,13703.25,13703.25,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-05-04T23:15:00,short,-190.0,near_match_entry_shift,2022-05-04T23:00:00,short,-103.0,2022-05-05T01:30:00,2022-05-05T01:45:00,12963.0,13018.25,13058.0,13069.75,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2022-05-05T23:15:00,short,498.0,near_match_entry_shift,2022-05-05T23:00:00,short,643.5,2022-05-06T12:45:00,2022-05-06T12:45:00,13102.0,13174.75,12853.0,12853.0,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-06-09T10:45:00,short,-57.5,no_near_match,,,,2022-06-09T13:00:00,,12572.25,,12601.0,,short_atr_stop,,,no_same_side_trade_within_5_bars
2022-06-30T23:00:00,short,-179.0,near_match_entry_shift,2022-06-30T22:45:00,short,-128.5,2022-07-01T00:00:00,2022-07-01T00:15:00,11398.0,11440.25,11487.5,11504.5,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2022-07-18T12:45:00,long,18.5,near_match_entry_shift,2022-07-18T12:30:00,long,28.0,2022-07-18T21:30:00,2022-07-18T21:30:00,12098.0,12093.25,12107.25,12107.25,long_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-07-19T03:45:00,short,44.5,near_match_price_diff,2022-07-19T03:00:00,short,99.5,2022-07-19T08:45:00,2022-07-19T08:45:00,11960.5,11988.0,11938.25,11938.25,short_exit_opposite_10,opposite_10,-3,same_side_trade_within_5_bars_but_price_diff
2022-08-19T23:15:00,short,143.5,near_match_entry_shift,2022-08-19T23:00:00,short,180.0,2022-08-22T12:00:00,2022-08-22T12:00:00,13290.5,13308.75,13218.75,13218.75,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-09-08T22:00:00,short,-131.0,near_match_entry_shift,2022-09-08T21:45:00,short,-74.5,2022-09-08T23:00:00,2022-09-08T23:00:00,12181.75,12210.0,12247.25,12247.25,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2022-09-14T04:45:00,short,-95.0,near_match_entry_shift,2022-09-14T04:30:00,short,-0.5,2022-09-14T11:15:00,2022-09-14T11:15:00,12105.75,12153.0,12153.25,12153.25,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-10-11T01:30:00,short,-227.0,no_near_match,,,,2022-10-11T03:00:00,,10922.0,,11035.5,,short_atr_stop,,,no_same_side_trade_within_5_bars
2022-10-28T05:30:00,short,-125.0,near_match_entry_shift,2022-10-28T05:15:00,short,-205.0,2022-10-28T05:45:00,2022-10-28T07:15:00,11013.5,11058.25,11076.0,11160.75,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2022-11-01T23:45:00,short,37.0,near_match_price_diff,2022-11-01T23:15:00,short,97.5,2022-11-02T09:45:00,2022-11-02T09:45:00,11372.5,11402.75,11354.0,11354.0,short_exit_opposite_10,opposite_10,-2,same_side_trade_within_5_bars_but_price_diff
2022-11-28T10:15:00,short,-51.5,near_match_entry_shift,2022-11-28T10:00:00,short,-19.5,2022-11-28T17:15:00,2022-11-28T17:15:00,11688.75,11704.75,11714.5,11714.5,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-11-30T01:30:00,short,-87.5,near_match_entry_shift,2022-11-30T01:15:00,short,-32.0,2022-11-30T10:15:00,2022-11-30T10:15:00,11489.5,11517.25,11533.25,11533.25,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-12-07T00:15:00,short,94.0,near_match_entry_shift,2022-12-07T00:00:00,short,157.5,2022-12-07T09:15:00,2022-12-07T09:15:00,11633.0,11664.75,11586.0,11586.0,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2022-12-16T03:00:00,short,-50.0,no_near_match,,,,2022-12-16T11:30:00,,11448.25,,11473.25,,short_exit_opposite_10,,,no_same_side_trade_within_5_bars
