entry_time,direction,pnl,classification,candidate_entry_time,candidate_direction,candidate_pnl,source_exit_time,candidate_exit_time,source_entry_price,candidate_entry_price,source_exit_price,candidate_exit_price,source_exit_reason,candidate_exit_reason,entry_bar_delta,note
2023-03-28T23:45:00,short,-93.0,no_near_match,,,,2023-03-29T00:30:00,,12657.5,,12704.0,,atr_stop,,,no_same_side_trade_within_5_bars
2023-03-29T10:30:00,long,-47.5,no_near_match,,,,2023-03-29T12:30:00,,12789.75,,12766.0,,atr_stop,,,no_same_side_trade_within_5_bars
2023-03-29T22:30:00,long,-52.5,near_match_entry_shift,2023-03-29T22:45:00,long,-64.5,2023-03-30T00:00:00,2023-03-29T23:45:00,12887.25,12909.5,12861.0,12877.25,atr_stop,long_atr_stop,1,same_side_trade_within_1_bar
2023-04-17T23:45:00,short,-14.5,near_match_price_diff,2023-04-18T00:45:00,short,-65.0,2023-04-18T03:45:00,2023-04-18T03:45:00,13122.5,13097.25,13129.75,13129.75,opposite_10,short_exit_opposite_10,4,same_side_trade_within_5_bars_but_price_diff
2023-04-20T08:45:00,short,128.0,no_near_match,,,,2023-04-20T20:00:00,,13128.0,,13064.0,,opposite_10,,,no_same_side_trade_within_5_bars
2023-05-08T21:45:00,short,-50.5,near_match_price_diff,2023-05-08T22:45:00,short,-50.5,2023-05-09T01:00:00,2023-05-09T00:15:00,13296.0,13276.5,13321.25,13301.75,atr_stop,short_atr_stop,4,same_side_trade_within_5_bars_but_price_diff
2023-06-21T23:45:00,short,-42.5,near_match_entry_shift,2023-06-22T00:00:00,short,-70.0,2023-06-22T03:00:00,2023-06-22T03:00:00,15071.25,15057.5,15092.5,15092.5,opposite_10,short_exit_opposite_10,1,same_side_trade_within_1_bar
2023-06-23T13:30:00,short,-43.0,no_near_match,,,,2023-06-23T15:00:00,,15128.75,,15150.25,,atr_stop,,,no_same_side_trade_within_5_bars
2023-07-27T22:45:00,long,-47.0,no_near_match,,,,2023-07-27T23:00:00,,15894.0,,15870.5,,atr_stop,,,no_same_side_trade_within_5_bars
2023-08-25T03:45:00,short,172.5,near_match_price_diff,2023-08-25T04:45:00,short,74.0,2023-08-25T15:00:00,2023-08-25T15:00:00,14939.75,14890.5,14853.5,14853.5,opposite_10,short_exit_opposite_10,4,same_side_trade_within_5_bars_but_price_diff
2023-08-26T00:00:00,short,-113.0,no_near_match,,,,2023-08-26T00:15:00,,14760.25,,14816.75,,atr_stop,,,no_same_side_trade_within_5_bars
2023-09-06T23:15:00,short,-11.5,near_match_price_diff,2023-09-07T00:00:00,short,-46.0,2023-09-07T05:00:00,2023-09-07T05:00:00,15392.5,15375.25,15398.25,15398.25,opposite_10,short_exit_opposite_10,3,same_side_trade_within_5_bars_but_price_diff
2023-09-29T00:45:00,long,-37.5,no_near_match,,,,2023-09-29T09:15:00,,14880.25,,14861.5,,opposite_10,,,no_same_side_trade_within_5_bars
2023-09-30T02:00:00,short,-128.0,near_match_entry_shift,2023-09-30T02:15:00,short,-48.5,2023-10-02T07:15:00,2023-09-30T05:00:00,14896.25,14843.25,14960.25,14867.5,atr_stop,short_atr_stop,1,same_side_trade_within_1_bar
2023-10-03T21:45:00,short,-89.5,no_near_match,,,,2023-10-03T22:45:00,,14863.5,,14908.25,,atr_stop,,,no_same_side_trade_within_5_bars
